"Source:","/Users/josephmarlin/Documents/KiCad/6.0/projects/6502tor/6502tor.kicad_sch"
"Date:","Wednesday, December 07, 2022 at 05:16:50 PM"
"Tool:","Eeschema (6.0.9-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","158"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","0.01uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C2","1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C3","0.01uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C4","0.1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C5","0.1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C6","0.01uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C7","0.1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C8","4.7uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C9","0.1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C10","0.1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C11","0.1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C12","0.1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C13","0.1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C14","0.1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C15","0.1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C16","0.1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C17","0.1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C18","0.1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C19","0.1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","C20","0.1uf","6502tor-eagle-import:C-USC1206","6502tor:C1206",""
"","","IC1","W65C02SP","6502tor-eagle-import:W65C02SP","6502tor:DIL40",""
"","","IC2","74245N","6502tor-eagle-import:74245N","6502tor:DIL20",""
